timestamp_ms,elapsed_s,d_obj_mm,v_raw_mmps,v_avg_mmps,m_buffer_mm,threshold_T_mm,alert_triggered,alert_text,latency_hw_ms,latency_net_ms,latency_algo_ms,latency_tts_ms,latency_bt_ms,latency_total_ms,packet_loss_frame,packet_loss_cumulative,is_head_rotating
1700000000000,0.0,4496,1604.82,0.0,271.2,1000,0,,26,30,5,0,3,64,0,0,0
1700000000066,0.07,4389,607.43,91.11,115.26,1060,0,,36,59,3,0,4,102,0,0,0
1700000000133,0.13,4415,0.0,77.45,37.63,1111,0,,24,45,4,0,3,76,0,0,0
1700000000200,0.2,4472,0.0,65.83,31.98,1095,0,,15,65,5,0,2,87,0,0,0
1700000000266,0.27,4517,0.0,55.96,21.36,1086,0,,12,20,6,0,4,42,0,0,0
1700000000333,0.33,4648,217.48,80.18,80.1,1074,0,,39,12,2,0,2,55,0,0,0
1700000000400,0.4,4488,277.47,109.78,39.62,1172,0,,38,17,3,0,2,60,0,0,0
1700000000466,0.47,4611,89.99,106.81,239.59,1000,0,,44,72,2,0,1,119,0,0,0
1700000000533,0.53,4476,1199.87,270.77,183.56,1337,0,,43,37,2,0,3,85,0,1,0
1700000000600,0.6,4451,0.0,230.15,111.82,1331,0,,34,43,4,0,4,85,1,1,0
1700000000666,0.67,4554,0.0,195.63,95.79,1280,0,,31,45,3,0,1,80,1,1,0
1700000000733,0.73,4525,854.91,294.52,173.5,1392,0,,7,53,6,0,1,67,1,1,0
1700000000800,0.8,4440,412.45,312.21,43.37,1552,0,,9,43,6,0,1,59,0,1,0
1700000000866,0.87,4470,0.0,265.38,128.94,1381,0,,5,69,4,0,1,79,0,1,0
1700000000933,0.93,4652,0.0,225.57,79.57,1354,0,,4,59,6,0,1,70,0,2,0
1700000001000,1.0,4585,847.41,318.85,419.19,1195,0,,32,55,4,0,2,93,0,2,0
1700000001066,1.07,4539,1574.82,507.24,167.14,1792,0,,38,21,6,0,2,67,0,2,0
1700000001133,1.13,4375,0.0,431.16,209.48,1613,0,,21,40,4,0,1,66,1,2,0
1700000001200,1.2,4612,0.0,366.48,57.53,1639,0,,44,64,5,0,4,117,0,3,0
1700000001266,1.27,4519,539.94,392.5,37.18,1706,0,,37,40,2,0,3,82,0,3,0
1700000001333,1.33,4540,52.49,341.5,152.13,1502,0,,33,42,6,0,2,83,0,3,1
1700000001400,1.4,4512,0.0,290.28,141.03,1416,0,,23,12,2,0,4,41,1,4,0
1700000001466,1.47,4691,0.0,246.73,32.83,1440,0,,17,59,4,0,1,81,0,4,0
1700000001533,1.53,4578,389.96,268.22,246.64,1270,0,,36,63,5,0,4,108,0,4,0
1700000001600,1.6,4639,1229.86,412.46,634.85,1161,0,,10,55,2,0,1,68,0,4,0
1700000001666,1.67,4414,2294.74,694.81,462.62,1854,0,,8,35,4,0,4,51,0,4,0
1700000001733,1.73,4333,884.9,723.32,119.03,2205,0,,32,61,3,0,2,98,0,4,0
1700000001800,1.8,4296,0.0,614.82,298.72,1862,0,,37,74,6,0,3,120,0,5,0
1700000001866,1.87,4506,0.0,522.6,183.6,1804,0,,10,66,3,0,2,81,0,6,0
1700000001933,1.93,4685,314.96,491.45,227.3,1707,0,,30,50,2,0,3,85,1,6,0
1700000002000,2.0,4464,1717.31,675.33,122.89,2123,0,,3,27,4,0,1,35,0,6,0
1700000002066,2.07,4456,0.0,574.03,278.9,1808,0,,39,39,2,0,1,81,0,6,0
1700000002133,2.13,4556,0.0,487.93,237.06,1691,0,,18,62,3,0,3,86,0,6,0
1700000002200,2.2,4607,0.0,414.74,181.41,1610,0,,38,34,5,0,4,81,0,6,0
1700000002266,2.27,4592,89.99,366.03,180.61,1520,0,,15,63,2,0,3,83,0,6,0
1700000002333,2.33,4595,1499.83,536.1,332.64,1689,0,,11,20,6,0,1,38,2,7,0
1700000002400,2.4,4392,892.4,589.54,52.07,2040,0,,19,43,4,0,2,68,0,7,0
1700000002466,2.47,4476,0.0,501.11,243.47,1709,0,,24,50,2,0,4,80,0,8,0
