--------- beginning of main
07-26 20:16:26.425 19189 19334 I LAT     : ===== LATENCY LOG [T+653s | N=3201] =====
07-26 20:16:26.428 19189 19334 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:16:26.431 19189 19334 I LAT     :   Serial     | avg=6ms  min=2ms  max=23ms
07-26 20:16:26.433 19189 19334 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=7ms
07-26 20:16:26.436 19189 19334 I LAT     :   TTS        | avg=1ms  min=0ms  max=7ms
07-26 20:16:26.438 19189 19334 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:16:26.440 19189 19334 I LAT     :   TOTAL E2E  | avg=25ms  min=19ms  max=48ms
07-26 20:16:26.440 19189 19334 I LAT     : ========================================================
07-26 20:16:31.504 19189 19332 I LAT     : ===== LATENCY LOG [T+658s | N=3226] =====
07-26 20:16:31.508 19189 19332 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:16:31.513 19189 19332 I LAT     :   Serial     | avg=6ms  min=2ms  max=23ms
07-26 20:16:31.515 19189 19332 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=7ms
07-26 20:16:31.518 19189 19332 I LAT     :   TTS        | avg=1ms  min=0ms  max=7ms
07-26 20:16:31.520 19189 19332 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:16:31.521 19189 19332 I LAT     :   TOTAL E2E  | avg=25ms  min=19ms  max=48ms
07-26 20:16:31.521 19189 19332 I LAT     : ========================================================
07-26 20:16:36.585 19189 19334 I LAT     : ===== LATENCY LOG [T+663s | N=3251] =====
07-26 20:16:36.590 19189 19334 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:16:36.595 19189 19334 I LAT     :   Serial     | avg=6ms  min=2ms  max=23ms
07-26 20:16:36.598 19189 19334 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=7ms
07-26 20:16:36.601 19189 19334 I LAT     :   TTS        | avg=1ms  min=0ms  max=7ms
07-26 20:16:36.603 19189 19334 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:16:36.605 19189 19334 I LAT     :   TOTAL E2E  | avg=25ms  min=19ms  max=48ms
07-26 20:16:36.605 19189 19334 I LAT     : ========================================================
07-26 20:16:41.675 19189 19230 I LAT     : ===== LATENCY LOG [T+668s | N=3276] =====
07-26 20:16:41.679 19189 19230 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:16:41.683 19189 19230 I LAT     :   Serial     | avg=6ms  min=2ms  max=23ms
07-26 20:16:41.686 19189 19230 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=7ms
07-26 20:16:41.689 19189 19230 I LAT     :   TTS        | avg=1ms  min=0ms  max=7ms
07-26 20:16:41.691 19189 19230 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:16:41.695 19189 19230 I LAT     :   TOTAL E2E  | avg=25ms  min=19ms  max=48ms
07-26 20:16:41.695 19189 19230 I LAT     : ========================================================
07-26 20:16:46.754 19189 19334 I LAT     : ===== LATENCY LOG [T+673s | N=3301] =====
07-26 20:16:46.758 19189 19334 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:16:46.763 19189 19334 I LAT     :   Serial     | avg=6ms  min=2ms  max=23ms
07-26 20:16:46.766 19189 19334 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=7ms
07-26 20:16:46.768 19189 19334 I LAT     :   TTS        | avg=1ms  min=0ms  max=7ms
07-26 20:16:46.770 19189 19334 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:16:46.771 19189 19334 I LAT     :   TOTAL E2E  | avg=25ms  min=19ms  max=48ms
07-26 20:16:46.771 19189 19334 I LAT     : ========================================================
